severity,origin,package,installed_version,vulnerability_id,scanner_fixed_version,scanner_status,package_path
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-58188,"1.24.8, 1.25.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-58189,"1.24.8, 1.25.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-61723,"1.24.8, 1.25.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-61724,"1.24.8, 1.25.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-61725,"1.24.8, 1.25.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-61727,"1.24.11, 1.25.5",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-61728,"1.24.12, 1.25.6",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-61730,"1.24.12, 1.25.6",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-27142,"1.25.8, 1.26.1",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-32282,"1.25.9, 1.26.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-32288,"1.25.9, 1.26.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-32289,"1.25.9, 1.26.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-39823,"1.25.10, 1.26.3",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-39825,"1.25.10, 1.26.3",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-39826,"1.25.10, 1.26.3",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-42505,"1.25.12, 1.26.5, 1.27.0-rc.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-42507,"1.25.11, 1.26.4",fixed,
LOW,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-58186,"1.24.8, 1.25.2",fixed,
LOW,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-27139,"1.25.8, 1.26.1",fixed,
